Show,Total Boletos,Nombre Localidad,Forma de Pago,Estado de Pago,EsCompartido,TipoShow,Mes,Día,Periodo,Mes_Show,Día_Show,Periodo_Show
MOANA 2,6,PLATEA BAJA,AppExterna,0,0,Talleres,Enero,Sábado,Mañana,Septiembre,Domingo,Tarde
28ava Asamblea Nacional,3,FUNCIÓN 3,AppExterna,0,1,Donación,Enero,Viernes,Noche,Mayo,Martes,Mañana
JORGE GUZMAN VS BARCELONA,9,SALA 3,Wallet,0,1,Cine,Enero,Miércoles,Tarde,Febrero,Viernes,Mañana
San Juanes Santa Rosa del Tejar,4,GOLDEN,PayPhone,0,1,Deporte,Enero,Jueves,Mañana,Abril,Lunes,Mañana
Mujer de Piedra,4,SALA 3,AppExterna,0,1,Cine,Enero,Viernes,Noche,Febrero,Sábado,Mañana
ALZATE,8,SALA 1 2D,AppExterna,1,1,Donación,Enero,Sábado,Mañana,Julio,Viernes,Tarde
La Inocente,5,SALA 3,AppExterna,1,1,Otro,Enero,Jueves,Mañana,Agosto,Martes,Mañana
Sensa 20,2,VIP,PayPhone,1,1,Ferias,Enero,Domingo,Tarde,Junio,Miércoles,Noche
MOANA 2,5,VENTA OFICIAL,PayPhone,1,1,Ferias,Enero,Sábado,Noche,Septiembre,Miércoles,Mañana
LA BRUMA FEST,4,FUNCIÓN 3,Wallet,0,0,Donación,Enero,Viernes,Tarde,Agosto,Lunes,Noche
FESTIVAL DE LA CHICHA,6,SALA 2,Wallet,0,0,Concierto,Enero,Lunes,Tarde,Junio,Miércoles,Noche
Libertad Vs U Catolica,6,BOLETO GENERAL,PayPhone,0,0,Teatro,Enero,Martes,Noche,Noviembre,Martes,Mañana
Inscripciones Ibarra Fight League,9,SALA 1 3D,AppExterna,0,0,Cine,Enero,Lunes,Tarde,Julio,Martes,Mañana
LA MOSCA,6,BOLETO GENERAL,AppExterna,1,0,Teatro,Enero,Domingo,Tarde,Noviembre,Domingo,Tarde
LA BRUMA FEST,3,TRIBUNA NORTE,PayPhone,0,0,Talleres,Enero,Martes,Mañana,Diciembre,Martes,Mañana
LIBERTAD FC VS Emelec SC,6,GOLDEN,AppExterna,1,1,Concierto,Enero,Lunes,Noche,Julio,Domingo,Noche
Inscripciones Ibarra Fight League,7,PREVENTA ,AppExterna,1,0,Donación,Enero,Lunes,Noche,Mayo,Martes,Tarde
Inscripciones Ibarra Fight League,3,Adhesiones,AppExterna,0,1,Cine,Enero,Sábado,Tarde,Octubre,Lunes,Tarde
ALZATE,2,CORTESÍAS,AppExterna,1,0,Concierto,Enero,Lunes,Tarde,Febrero,Domingo,Tarde
El After de las Artes Vivas,3,PALCO,PayPhone,1,0,Deporte,Enero,Domingo,Noche,Diciembre,Martes,Mañana
LA MOSCA,4,PLATEA ALTA,AppExterna,1,1,Talleres,Enero,Viernes,Tarde,Diciembre,Viernes,Tarde
A pebble falling on a silent lake,9,FUNCIÓN 2,Wallet,1,1,Concierto,Enero,Jueves,Tarde,Septiembre,Sábado,Noche
JORGE GUZMAN VS BARCELONA,6,PRESIDENTES,AppExterna,1,1,Otro,Enero,Lunes,Mañana,Agosto,Lunes,Noche
LA MOSCA,7,SALA 3,Wallet,1,0,Donación,Enero,Domingo,Noche,Marzo,Viernes,Tarde
Libertad Vs U Catolica,6,PREVENTA ,Wallet,1,1,Ferias,Enero,Jueves,Tarde,Marzo,Jueves,Mañana
LA BRUMA FEST,3,TRIBUNA SUR,PayPhone,0,0,Donación,Enero,Viernes,Tarde,Mayo,Jueves,Mañana
MOANA 2,7,PLATINUM,PayPhone,0,0,Deporte,Enero,Domingo,Tarde,Marzo,Miércoles,Tarde
El viaje de la Santa,5,TRIBUNA NORTE,Wallet,1,0,Concierto,Enero,Lunes,Tarde,Septiembre,Sábado,Noche
RALLY PROVINCIA DE LOJA,8,PALCO,PayPhone,0,1,Concierto,Enero,Martes,Mañana,Marzo,Martes,Mañana
El viaje de la Santa,7,BOLETO GENERAL,Wallet,1,1,Donación,Enero,Miércoles,Noche,Octubre,Viernes,Noche
Los peces no vuelan,3,Golden Box,Wallet,1,0,Otro,Enero,Domingo,Tarde,Mayo,Viernes,Tarde
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,9,VIP,PayPhone,0,0,Cine,Enero,Viernes,Mañana,Mayo,Miércoles,Tarde
RALLY PROVINCIA DE LOJA,7,TRIBUNA SUR,Wallet,0,0,Teatro,Enero,Viernes,Mañana,Mayo,Martes,Noche
Mujer de Piedra,3,GOLDEN,PayPhone,1,0,Donación,Enero,Lunes,Noche,Diciembre,Miércoles,Mañana
LA ULTIMA ESPERANZA,1,SALA 1 2D,AppExterna,1,0,Talleres,Enero,Miércoles,Tarde,Mayo,Viernes,Noche
LA ULTIMA ESPERANZA,2,GENERAL,Wallet,1,1,Otro,Enero,Viernes,Noche,Septiembre,Domingo,Mañana
TARDE CLIPP,2,Golden Box,Wallet,1,1,Donación,Enero,Jueves,Mañana,Noviembre,Lunes,Tarde
CAPACITACION FERIA,8,TRIBUNA SUR,Wallet,1,1,Ferias,Enero,Jueves,Noche,Julio,Jueves,Noche
Libertad Vs U Catolica,9,PRESIDENTES,AppExterna,0,0,Otro,Enero,Lunes,Mañana,Noviembre,Miércoles,Mañana
La Inocente,9,PALCO,AppExterna,1,0,Donación,Enero,Martes,Tarde,Octubre,Sábado,Tarde
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,4,Golden Box,PayPhone,1,0,Otro,Enero,Miércoles,Tarde,Febrero,Domingo,Mañana
FESTIVAL DE LA CHICHA,6,SALA 1 2D,PayPhone,0,0,Deporte,Enero,Martes,Noche,Marzo,Martes,Noche
JORGE GUZMAN VS BARCELONA,8,SILLAS DIGITAL,AppExterna,0,1,Cine,Enero,Sábado,Noche,Septiembre,Martes,Mañana
San Juanes Santa Rosa del Tejar,8,SILLAS DIGITAL,Wallet,0,0,Teatro,Enero,Viernes,Mañana,Octubre,Sábado,Tarde
28ava Asamblea Nacional,6,SALA 3,PayPhone,1,0,Talleres,Enero,Miércoles,Mañana,Diciembre,Martes,Noche
CAPACITACION FERIA,2,VENTA OFICIAL,AppExterna,0,1,Talleres,Enero,Jueves,Mañana,Agosto,Sábado,Mañana
Inscripciones Ibarra Fight League,7,SALA 3,Wallet,1,1,Ferias,Enero,Domingo,Tarde,Junio,Jueves,Mañana
FESTIVAL DE LA CHICHA,9,VIP,Wallet,0,0,Donación,Enero,Jueves,Noche,Junio,Martes,Tarde
San Juanes Santa Rosa del Tejar,8,SALA 1 3D,PayPhone,0,1,Talleres,Enero,Sábado,Mañana,Abril,Domingo,Mañana
LIBERTAD FC VS Emelec SC,6,SALA 1 3D,PayPhone,0,0,Teatro,Enero,Jueves,Mañana,Marzo,Martes,Noche
Ibarra Fight League,3,TRIBUNA SUR,PayPhone,1,1,Teatro,Enero,Lunes,Mañana,Agosto,Jueves,Tarde
DESAYUNO EMPRESARIAL,7,Golden Box,AppExterna,1,1,Donación,Enero,Lunes,Tarde,Mayo,Martes,Mañana
LA ULTIMA ESPERANZA,4,CORTESÍAS,AppExterna,0,1,Otro,Enero,Jueves,Mañana,Febrero,Domingo,Mañana
San Juanes Santa Rosa del Tejar,4,SALA 3,PayPhone,1,1,Talleres,Enero,Martes,Tarde,Febrero,Martes,Tarde
El viaje de la Santa,9,PLATINUM,Wallet,0,1,Concierto,Enero,Domingo,Tarde,Agosto,Lunes,Mañana
LIBERTAD FC VS Emelec SC,6,TRIBUNA NORTE,PayPhone,1,1,Ferias,Enero,Jueves,Mañana,Marzo,Lunes,Tarde
La Inocente,7,CORTESÍAS GOLDEN,Wallet,0,1,Cine,Enero,Sábado,Mañana,Agosto,Martes,Tarde
Sensa 20,7,BOLETO PALCO,PayPhone,1,1,Otro,Enero,Lunes,Mañana,Febrero,Lunes,Mañana
La Inocente,2,PLATEA ALTA,AppExterna,1,0,Ferias,Enero,Miércoles,Mañana,Octubre,Sábado,Tarde
MOANA 2,5,SALA 3,PayPhone,1,1,Cine,Enero,Martes,Tarde,Mayo,Jueves,Noche
San Juanes Santa Rosa del Tejar,3,FUNCIÓN 2,Wallet,0,1,Otro,Enero,Miércoles,Mañana,Noviembre,Sábado,Mañana
LA MOSCA,5,PALCO,Wallet,1,1,Talleres,Enero,Viernes,Tarde,Junio,Martes,Tarde
FESTIVAL DE LA CHICHA,1,GOLDEN,Wallet,1,1,Otro,Enero,Sábado,Mañana,Marzo,Viernes,Mañana
JORGE GUZMAN VS BARCELONA,7,VIP,PayPhone,0,1,Talleres,Enero,Lunes,Mañana,Diciembre,Martes,Mañana
LA MOSCA,1,SALA 2,Wallet,1,0,Ferias,Enero,Sábado,Mañana,Junio,Sábado,Mañana
Ibarra Fight League,4,CORTESÍAS GOLDEN,AppExterna,1,0,Concierto,Enero,Lunes,Noche,Mayo,Jueves,Noche
Libertad Vs U Catolica,1,VENTA OFICIAL,PayPhone,0,0,Donación,Enero,Viernes,Tarde,Octubre,Viernes,Mañana
San Juanes Santa Rosa del Tejar,6,PREFERENCIA,PayPhone,0,1,Ferias,Enero,Martes,Noche,Noviembre,Martes,Mañana
28ava Asamblea Nacional,2,SILLAS DIGITAL,AppExterna,0,1,Deporte,Enero,Miércoles,Mañana,Agosto,Viernes,Noche
San Juanes Santa Rosa del Tejar,6,PREFERENCIA,PayPhone,1,0,Concierto,Enero,Lunes,Tarde,Octubre,Miércoles,Noche
El After de las Artes Vivas,6,PLATEA ALTA,AppExterna,1,0,Concierto,Enero,Miércoles,Mañana,Noviembre,Lunes,Mañana
FESTIVAL DE LA CHICHA,1,CORTESÍAS VIP,PayPhone,0,1,Concierto,Enero,Jueves,Noche,Junio,Martes,Tarde
LIBERTAD FC VS Emelec SC,7,GOLDEN,Wallet,1,0,Deporte,Enero,Jueves,Tarde,Abril,Sábado,Mañana
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,6,PLATEA ALTA,PayPhone,1,1,Concierto,Enero,Lunes,Tarde,Mayo,Viernes,Mañana
LA BRUMA FEST,8,TRIBUNA SUR,Wallet,1,0,Ferias,Enero,Sábado,Mañana,Octubre,Domingo,Mañana
Libertad Vs U Catolica,9,Golden Box,Wallet,1,0,Ferias,Enero,Sábado,Tarde,Marzo,Jueves,Mañana
CAPACITACION FERIA,5,GOLDEN,PayPhone,0,0,Cine,Enero,Martes,Noche,Abril,Miércoles,Tarde
DESAYUNO EMPRESARIAL,3,PLATINUM,PayPhone,0,0,Donación,Enero,Miércoles,Tarde,Abril,Sábado,Mañana
LA BRUMA FEST,1,FUNCIÓN 2,PayPhone,1,1,Talleres,Enero,Lunes,Tarde,Agosto,Martes,Tarde
San Juanes Santa Rosa del Tejar,1,GOLDEN,Wallet,1,1,Otro,Enero,Domingo,Tarde,Mayo,Lunes,Noche
TARDE CLIPP,6,SALA 3,AppExterna,0,1,Otro,Enero,Domingo,Tarde,Octubre,Jueves,Tarde
Inscripciones Ibarra Fight League,6,SALA 1 2D,PayPhone,1,1,Otro,Enero,Sábado,Tarde,Noviembre,Martes,Tarde
FESTIVAL DE LA CHICHA,6,INSCRIPCIÓN DIGITAL,Wallet,0,0,Concierto,Enero,Viernes,Noche,Marzo,Lunes,Noche
La Inocente,8,GENERAL,Wallet,0,0,Otro,Enero,Martes,Mañana,Junio,Lunes,Tarde
MOANA 2,5,CORTESÍAS GOLDEN,PayPhone,0,0,Donación,Enero,Jueves,Noche,Mayo,Domingo,Mañana
Sensa 20,6,BOLETO SOLIDARIO,PayPhone,1,1,Cine,Enero,Domingo,Noche,Abril,Jueves,Noche
LA ULTIMA ESPERANZA,9,FUNCIÓN 3,PayPhone,1,0,Donación,Enero,Jueves,Tarde,Octubre,Sábado,Tarde
Mujer de Piedra,2,PREVENTA ,AppExterna,0,0,Donación,Enero,Jueves,Tarde,Junio,Jueves,Tarde
Mujer de Piedra,7,GENERAL,PayPhone,0,1,Ferias,Enero,Domingo,Tarde,Octubre,Sábado,Tarde
San Juanes Santa Rosa del Tejar,3,PLATEA BAJA,PayPhone,0,1,Cine,Enero,Sábado,Mañana,Noviembre,Domingo,Tarde
Ibarra Fight League,7,PLATEA MEDIA,AppExterna,1,1,Talleres,Enero,Miércoles,Noche,Mayo,Jueves,Tarde
JORGE GUZMAN VS BARCELONA,1,SILLAS DIGITAL,Wallet,1,0,Concierto,Enero,Viernes,Tarde,Marzo,Martes,Noche
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,4,SALA 1 3D,Wallet,1,1,Concierto,Enero,Miércoles,Mañana,Septiembre,Lunes,Tarde
Libertad Vs U Catolica,6,CORTESÍAS GOLDEN,Wallet,0,1,Concierto,Enero,Martes,Mañana,Febrero,Jueves,Tarde
LA ULTIMA ESPERANZA,2,SALA 2,AppExterna,1,1,Teatro,Enero,Domingo,Mañana,Marzo,Sábado,Mañana
A pebble falling on a silent lake,9,PLATINUM,PayPhone,1,0,Donación,Enero,Sábado,Mañana,Diciembre,Viernes,Tarde
Inscripciones Ibarra Fight League,1,Adhesiones,PayPhone,1,0,Ferias,Enero,Lunes,Noche,Agosto,Miércoles,Noche
ALZATE,3,GOLDEN,PayPhone,1,1,Deporte,Enero,Jueves,Tarde,Agosto,Jueves,Noche
La Inocente,6,CORTESÍAS GOLDEN,AppExterna,1,1,Otro,Enero,Viernes,Mañana,Noviembre,Sábado,Tarde
Los peces no vuelan,6,GOLDEN,PayPhone,0,1,Deporte,Enero,Martes,Noche,Abril,Jueves,Noche
A pebble falling on a silent lake,5,BOLETO GENERAL,Wallet,1,0,Deporte,Enero,Martes,Mañana,Octubre,Viernes,Noche
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,2,CORTESÍAS GOLDEN,PayPhone,0,1,Talleres,Enero,Lunes,Noche,Septiembre,Domingo,Mañana
RALLY PROVINCIA DE LOJA,3,INSCRIPCIÓN DIGITAL,AppExterna,1,1,Deporte,Enero,Viernes,Tarde,Octubre,Domingo,Noche
El After de las Artes Vivas,6,BOLETO PALCO,PayPhone,0,0,Talleres,Enero,Miércoles,Tarde,Octubre,Miércoles,Tarde
DESAYUNO EMPRESARIAL,7,BOLETO PALCO,Wallet,1,0,Cine,Enero,Viernes,Noche,Noviembre,Viernes,Tarde
DESAYUNO EMPRESARIAL,7,INSCRIPCIÓN DIGITAL,Wallet,1,1,Cine,Enero,Viernes,Noche,Agosto,Viernes,Tarde
El viaje de la Santa,5,PREVENTA ,AppExterna,1,0,Talleres,Enero,Viernes,Noche,Mayo,Viernes,Tarde
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,7,GOLDEN,Wallet,1,0,Ferias,Enero,Lunes,Tarde,Septiembre,Martes,Noche
TARDE CLIPP,4,CORTESÍAS VIP,PayPhone,0,0,Teatro,Enero,Lunes,Noche,Julio,Miércoles,Mañana
TARDE CLIPP,8,PREFERENCIA,Wallet,1,1,Ferias,Enero,Domingo,Mañana,Marzo,Domingo,Noche
LA MOSCA,8,TRIBUNA SUR,Wallet,0,1,Teatro,Enero,Sábado,Mañana,Mayo,Lunes,Tarde
San Juanes Santa Rosa del Tejar,3,SALA 1 2D,Wallet,1,1,Talleres,Enero,Domingo,Tarde,Julio,Viernes,Noche
ALZATE,1,PLATINUM,Wallet,1,1,Otro,Enero,Domingo,Noche,Abril,Lunes,Noche
MOANA 2,9,Adhesiones,AppExterna,0,0,Talleres,Enero,Domingo,Tarde,Julio,Lunes,Tarde
La Inocente,6,SALA 1 2D,PayPhone,0,0,Donación,Enero,Domingo,Tarde,Junio,Jueves,Tarde
DESAYUNO EMPRESARIAL,8,CORTESÍAS,PayPhone,1,1,Concierto,Enero,Viernes,Noche,Junio,Miércoles,Tarde
Inscripciones Ibarra Fight League,5,CORTESÍAS VIP,Wallet,0,0,Concierto,Enero,Sábado,Tarde,Mayo,Lunes,Tarde
DESAYUNO EMPRESARIAL,7,GOLDEN,Wallet,1,0,Cine,Enero,Sábado,Mañana,Marzo,Jueves,Noche
RALLY PROVINCIA DE LOJA,1,SALA 2,PayPhone,0,0,Ferias,Enero,Jueves,Mañana,Junio,Miércoles,Mañana
TARDE CLIPP,6,CORTESÍAS GOLDEN,AppExterna,0,0,Otro,Enero,Martes,Noche,Mayo,Viernes,Tarde
28ava Asamblea Nacional,1,BOLETO PALCO,AppExterna,1,0,Ferias,Enero,Miércoles,Tarde,Marzo,Sábado,Noche
LA ULTIMA ESPERANZA,3,SILLAS DIGITAL,PayPhone,1,0,Cine,Enero,Martes,Tarde,Agosto,Lunes,Noche
LIBERTAD FC VS Emelec SC,9,PLATEA ALTA,Wallet,0,0,Concierto,Enero,Martes,Noche,Diciembre,Martes,Tarde
Ibarra Fight League,6,SALA 1 2D,AppExterna,0,1,Deporte,Enero,Miércoles,Tarde,Marzo,Viernes,Noche
A pebble falling on a silent lake,1,Golden Box,Wallet,1,0,Donación,Enero,Sábado,Noche,Febrero,Lunes,Noche
TARDE CLIPP,5,PLATEA MEDIA,PayPhone,1,0,Otro,Enero,Lunes,Mañana,Noviembre,Martes,Tarde
Inscripciones Ibarra Fight League,4,SILLAS DIGITAL,AppExterna,0,1,Concierto,Enero,Lunes,Mañana,Junio,Martes,Tarde
DESAYUNO EMPRESARIAL,7,FUNCIÓN 2,AppExterna,0,1,Donación,Enero,Martes,Mañana,Marzo,Jueves,Noche
28ava Asamblea Nacional,9,PLATEA MEDIA,PayPhone,1,0,Concierto,Enero,Domingo,Tarde,Septiembre,Domingo,Noche
JORGE GUZMAN VS BARCELONA,6,VIP,Wallet,1,1,Donación,Enero,Miércoles,Mañana,Junio,Lunes,Tarde
Mujer de Piedra,8,PLATEA BAJA,AppExterna,0,0,Cine,Enero,Viernes,Mañana,Octubre,Sábado,Noche
