Show,Nombre Localidad,Forma de Pago,Estado de Pago,EsCompartido,Mes,Día,Periodo,Mes_Show,Día_Show,Periodo_Show,Cluster,Total Boletos Pred,TipoShow Pred
JORGE GUZMAN VS BARCELONA,SALA 3,Wallet,0,1,Enero,Miércoles,Tarde,Febrero,Viernes,Mañana,2,3,Talleres
San Juanes Santa Rosa del Tejar,GOLDEN,PayPhone,0,1,Enero,Jueves,Mañana,Abril,Lunes,Mañana,2,2,Concierto
Mujer de Piedra,SALA 3,AppExterna,0,1,Enero,Viernes,Noche,Febrero,Sábado,Mañana,2,2,Deporte
ALZATE,SALA 1 2D,AppExterna,1,1,Enero,Sábado,Mañana,Julio,Viernes,Tarde,2,2,Cine
La Inocente,SALA 3,AppExterna,1,1,Enero,Jueves,Mañana,Agosto,Martes,Mañana,2,2,Talleres
Sensa 20,VIP,PayPhone,1,1,Enero,Domingo,Tarde,Junio,Miércoles,Noche,2,2,Concierto
MOANA 2,VENTA OFICIAL,PayPhone,1,1,Enero,Sábado,Noche,Septiembre,Miércoles,Mañana,2,2,Ferias
LA BRUMA FEST,FUNCIÓN 3,Wallet,0,0,Enero,Viernes,Tarde,Agosto,Lunes,Noche,2,2,Deporte
FESTIVAL DE LA CHICHA,SALA 2,Wallet,0,0,Enero,Lunes,Tarde,Junio,Miércoles,Noche,2,2,Teatro
Libertad Vs U Catolica,BOLETO GENERAL,PayPhone,0,0,Enero,Martes,Noche,Noviembre,Martes,Mañana,0,4,Ferias
Inscripciones Ibarra Fight League,SALA 1 3D,AppExterna,0,0,Enero,Lunes,Tarde,Julio,Martes,Mañana,2,3,Talleres
LA MOSCA,BOLETO GENERAL,AppExterna,1,0,Enero,Domingo,Tarde,Noviembre,Domingo,Tarde,0,2,Teatro
LA BRUMA FEST,TRIBUNA NORTE,PayPhone,0,0,Enero,Martes,Mañana,Diciembre,Martes,Mañana,2,1,Talleres
LIBERTAD FC VS Emelec SC,GOLDEN,AppExterna,1,1,Enero,Lunes,Noche,Julio,Domingo,Noche,2,2,Cine
Inscripciones Ibarra Fight League,PREVENTA ,AppExterna,1,0,Enero,Lunes,Noche,Mayo,Martes,Tarde,2,1,Concierto
Inscripciones Ibarra Fight League,Adhesiones,AppExterna,0,1,Enero,Sábado,Tarde,Octubre,Lunes,Tarde,2,2,Deporte
ALZATE,CORTESÍAS,AppExterna,1,0,Enero,Lunes,Tarde,Febrero,Domingo,Tarde,2,1,Concierto
El After de las Artes Vivas,PALCO,PayPhone,1,0,Enero,Domingo,Noche,Diciembre,Martes,Mañana,2,1,Talleres
LA MOSCA,PLATEA ALTA,AppExterna,1,1,Enero,Viernes,Tarde,Diciembre,Viernes,Tarde,2,1,Cine
A pebble falling on a silent lake,FUNCIÓN 2,Wallet,1,1,Enero,Jueves,Tarde,Septiembre,Sábado,Noche,3,2,Concierto
JORGE GUZMAN VS BARCELONA,PRESIDENTES,AppExterna,1,1,Enero,Lunes,Mañana,Agosto,Lunes,Noche,2,2,Deporte
LA MOSCA,SALA 3,Wallet,1,0,Enero,Domingo,Noche,Marzo,Viernes,Tarde,2,2,Otro
Libertad Vs U Catolica,PREVENTA ,Wallet,1,1,Enero,Jueves,Tarde,Marzo,Jueves,Mañana,2,2,Otro
LA BRUMA FEST,TRIBUNA SUR,PayPhone,0,0,Enero,Viernes,Tarde,Mayo,Jueves,Mañana,2,2,Talleres
MOANA 2,PLATINUM,PayPhone,0,0,Enero,Domingo,Tarde,Marzo,Miércoles,Tarde,2,2,Concierto
El viaje de la Santa,TRIBUNA NORTE,Wallet,1,0,Enero,Lunes,Tarde,Septiembre,Sábado,Noche,3,2,Concierto
RALLY PROVINCIA DE LOJA,PALCO,PayPhone,0,1,Enero,Martes,Mañana,Marzo,Martes,Mañana,2,3,Otro
El viaje de la Santa,BOLETO GENERAL,Wallet,1,1,Enero,Miércoles,Noche,Octubre,Viernes,Noche,2,2,Cine
Los peces no vuelan,Golden Box,Wallet,1,0,Enero,Domingo,Tarde,Mayo,Viernes,Tarde,2,2,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,VIP,PayPhone,0,0,Enero,Viernes,Mañana,Mayo,Miércoles,Tarde,2,2,Concierto
RALLY PROVINCIA DE LOJA,TRIBUNA SUR,Wallet,0,0,Enero,Viernes,Mañana,Mayo,Martes,Noche,2,2,Concierto
Mujer de Piedra,GOLDEN,PayPhone,1,0,Enero,Lunes,Noche,Diciembre,Miércoles,Mañana,2,1,Teatro
LA ULTIMA ESPERANZA,SALA 1 2D,AppExterna,1,0,Enero,Miércoles,Tarde,Mayo,Viernes,Noche,2,1,Concierto
LA ULTIMA ESPERANZA,GENERAL,Wallet,1,1,Enero,Viernes,Noche,Septiembre,Domingo,Mañana,2,3,Deporte
TARDE CLIPP,Golden Box,Wallet,1,1,Enero,Jueves,Mañana,Noviembre,Lunes,Tarde,0,2,Teatro
CAPACITACION FERIA,TRIBUNA SUR,Wallet,1,1,Enero,Jueves,Noche,Julio,Jueves,Noche,2,2,Talleres
Libertad Vs U Catolica,PRESIDENTES,AppExterna,0,0,Enero,Lunes,Mañana,Noviembre,Miércoles,Mañana,0,2,Teatro
La Inocente,PALCO,AppExterna,1,0,Enero,Martes,Tarde,Octubre,Sábado,Tarde,2,2,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,Golden Box,PayPhone,1,0,Enero,Miércoles,Tarde,Febrero,Domingo,Mañana,2,2,Teatro
FESTIVAL DE LA CHICHA,SALA 1 2D,PayPhone,0,0,Enero,Martes,Noche,Marzo,Martes,Noche,2,2,Concierto
JORGE GUZMAN VS BARCELONA,SILLAS DIGITAL,AppExterna,0,1,Enero,Sábado,Noche,Septiembre,Martes,Mañana,3,2,Talleres
San Juanes Santa Rosa del Tejar,SILLAS DIGITAL,Wallet,0,0,Enero,Viernes,Mañana,Octubre,Sábado,Tarde,2,2,Concierto
28ava Asamblea Nacional,SALA 3,PayPhone,1,0,Enero,Miércoles,Mañana,Diciembre,Martes,Noche,2,1,Cine
CAPACITACION FERIA,VENTA OFICIAL,AppExterna,0,1,Enero,Jueves,Mañana,Agosto,Sábado,Mañana,2,1,Deporte
Inscripciones Ibarra Fight League,SALA 3,Wallet,1,1,Enero,Domingo,Tarde,Junio,Jueves,Mañana,2,3,Talleres
FESTIVAL DE LA CHICHA,VIP,Wallet,0,0,Enero,Jueves,Noche,Junio,Martes,Tarde,2,2,Otro
San Juanes Santa Rosa del Tejar,SALA 1 3D,PayPhone,0,1,Enero,Sábado,Mañana,Abril,Domingo,Mañana,2,1,Concierto
LIBERTAD FC VS Emelec SC,SALA 1 3D,PayPhone,0,0,Enero,Jueves,Mañana,Marzo,Martes,Noche,2,2,Donación
Ibarra Fight League,TRIBUNA SUR,PayPhone,1,1,Enero,Lunes,Mañana,Agosto,Jueves,Tarde,2,2,Deporte
DESAYUNO EMPRESARIAL,Golden Box,AppExterna,1,1,Enero,Lunes,Tarde,Mayo,Martes,Mañana,2,2,Talleres
LA ULTIMA ESPERANZA,CORTESÍAS,AppExterna,0,1,Enero,Jueves,Mañana,Febrero,Domingo,Mañana,2,2,Talleres
San Juanes Santa Rosa del Tejar,SALA 3,PayPhone,1,1,Enero,Martes,Tarde,Febrero,Martes,Tarde,2,2,Concierto
El viaje de la Santa,PLATINUM,Wallet,0,1,Enero,Domingo,Tarde,Agosto,Lunes,Mañana,2,3,Deporte
LIBERTAD FC VS Emelec SC,TRIBUNA NORTE,PayPhone,1,1,Enero,Jueves,Mañana,Marzo,Lunes,Tarde,2,2,Deporte
La Inocente,CORTESÍAS GOLDEN,Wallet,0,1,Enero,Sábado,Mañana,Agosto,Martes,Tarde,2,2,Deporte
Sensa 20,BOLETO PALCO,PayPhone,1,1,Enero,Lunes,Mañana,Febrero,Lunes,Mañana,2,3,Deporte
La Inocente,PLATEA ALTA,AppExterna,1,0,Enero,Miércoles,Mañana,Octubre,Sábado,Tarde,2,2,Deporte
MOANA 2,SALA 3,PayPhone,1,1,Enero,Martes,Tarde,Mayo,Jueves,Noche,2,2,Cine
San Juanes Santa Rosa del Tejar,FUNCIÓN 2,Wallet,0,1,Enero,Miércoles,Mañana,Noviembre,Sábado,Mañana,0,3,Teatro
LA MOSCA,PALCO,Wallet,1,1,Enero,Viernes,Tarde,Junio,Martes,Tarde,2,1,Otro
FESTIVAL DE LA CHICHA,GOLDEN,Wallet,1,1,Enero,Sábado,Mañana,Marzo,Viernes,Mañana,2,3,Otro
JORGE GUZMAN VS BARCELONA,VIP,PayPhone,0,1,Enero,Lunes,Mañana,Diciembre,Martes,Mañana,2,1,Talleres
LA MOSCA,SALA 2,Wallet,1,0,Enero,Sábado,Mañana,Junio,Sábado,Mañana,2,2,Deporte
Ibarra Fight League,CORTESÍAS GOLDEN,AppExterna,1,0,Enero,Lunes,Noche,Mayo,Jueves,Noche,2,2,Cine
Libertad Vs U Catolica,VENTA OFICIAL,PayPhone,0,0,Enero,Viernes,Tarde,Octubre,Viernes,Mañana,2,2,Concierto
San Juanes Santa Rosa del Tejar,PREFERENCIA,PayPhone,0,1,Enero,Martes,Noche,Noviembre,Martes,Mañana,2,4,Talleres
28ava Asamblea Nacional,SILLAS DIGITAL,AppExterna,0,1,Enero,Miércoles,Mañana,Agosto,Viernes,Noche,2,3,Concierto
San Juanes Santa Rosa del Tejar,PREFERENCIA,PayPhone,1,0,Enero,Lunes,Tarde,Octubre,Miércoles,Noche,2,2,Concierto
El After de las Artes Vivas,PLATEA ALTA,AppExterna,1,0,Enero,Miércoles,Mañana,Noviembre,Lunes,Mañana,0,2,Teatro
FESTIVAL DE LA CHICHA,CORTESÍAS VIP,PayPhone,0,1,Enero,Jueves,Noche,Junio,Martes,Tarde,2,2,Otro
LIBERTAD FC VS Emelec SC,GOLDEN,Wallet,1,0,Enero,Jueves,Tarde,Abril,Sábado,Mañana,2,1,Deporte
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,PLATEA ALTA,PayPhone,1,1,Enero,Lunes,Tarde,Mayo,Viernes,Mañana,2,2,Talleres
LA BRUMA FEST,TRIBUNA SUR,Wallet,1,0,Enero,Sábado,Mañana,Octubre,Domingo,Mañana,2,2,Deporte
Libertad Vs U Catolica,Golden Box,Wallet,1,0,Enero,Sábado,Tarde,Marzo,Jueves,Mañana,2,2,Talleres
CAPACITACION FERIA,GOLDEN,PayPhone,0,0,Enero,Martes,Noche,Abril,Miércoles,Tarde,2,3,Concierto
DESAYUNO EMPRESARIAL,PLATINUM,PayPhone,0,0,Enero,Miércoles,Tarde,Abril,Sábado,Mañana,2,2,Concierto
LA BRUMA FEST,FUNCIÓN 2,PayPhone,1,1,Enero,Lunes,Tarde,Agosto,Martes,Tarde,2,2,Deporte
San Juanes Santa Rosa del Tejar,GOLDEN,Wallet,1,1,Enero,Domingo,Tarde,Mayo,Lunes,Noche,2,2,Deporte
TARDE CLIPP,SALA 3,AppExterna,0,1,Enero,Domingo,Tarde,Octubre,Jueves,Tarde,2,2,Cine
Inscripciones Ibarra Fight League,SALA 1 2D,PayPhone,1,1,Enero,Sábado,Tarde,Noviembre,Martes,Tarde,2,2,Concierto
FESTIVAL DE LA CHICHA,INSCRIPCIÓN DIGITAL,Wallet,0,0,Enero,Viernes,Noche,Marzo,Lunes,Noche,2,2,Concierto
La Inocente,GENERAL,Wallet,0,0,Enero,Martes,Mañana,Junio,Lunes,Tarde,2,3,Deporte
MOANA 2,CORTESÍAS GOLDEN,PayPhone,0,0,Enero,Jueves,Noche,Mayo,Domingo,Mañana,2,2,Talleres
Sensa 20,BOLETO SOLIDARIO,PayPhone,1,1,Enero,Domingo,Noche,Abril,Jueves,Noche,2,3,Cine
LA ULTIMA ESPERANZA,FUNCIÓN 3,PayPhone,1,0,Enero,Jueves,Tarde,Octubre,Sábado,Tarde,2,1,Concierto
Mujer de Piedra,PREVENTA ,AppExterna,0,0,Enero,Jueves,Tarde,Junio,Jueves,Tarde,2,2,Cine
Mujer de Piedra,GENERAL,PayPhone,0,1,Enero,Domingo,Tarde,Octubre,Sábado,Tarde,2,2,Concierto
San Juanes Santa Rosa del Tejar,PLATEA BAJA,PayPhone,0,1,Enero,Sábado,Mañana,Noviembre,Domingo,Tarde,2,3,Concierto
Ibarra Fight League,PLATEA MEDIA,AppExterna,1,1,Enero,Miércoles,Noche,Mayo,Jueves,Tarde,2,1,Deporte
JORGE GUZMAN VS BARCELONA,SILLAS DIGITAL,Wallet,1,0,Enero,Viernes,Tarde,Marzo,Martes,Noche,2,2,Donación
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,SALA 1 3D,Wallet,1,1,Enero,Miércoles,Mañana,Septiembre,Lunes,Tarde,2,2,Deporte
Libertad Vs U Catolica,CORTESÍAS GOLDEN,Wallet,0,1,Enero,Martes,Mañana,Febrero,Jueves,Tarde,2,2,Cine
LA ULTIMA ESPERANZA,SALA 2,AppExterna,1,1,Enero,Domingo,Mañana,Marzo,Sábado,Mañana,0,4,Teatro
A pebble falling on a silent lake,PLATINUM,PayPhone,1,0,Enero,Sábado,Mañana,Diciembre,Viernes,Tarde,2,2,Cine
Inscripciones Ibarra Fight League,Adhesiones,PayPhone,1,0,Enero,Lunes,Noche,Agosto,Miércoles,Noche,2,2,Concierto
ALZATE,GOLDEN,PayPhone,1,1,Enero,Jueves,Tarde,Agosto,Jueves,Noche,2,2,Deporte
La Inocente,CORTESÍAS GOLDEN,AppExterna,1,1,Enero,Viernes,Mañana,Noviembre,Sábado,Tarde,0,2,Concierto
Los peces no vuelan,GOLDEN,PayPhone,0,1,Enero,Martes,Noche,Abril,Jueves,Noche,2,3,Cine
A pebble falling on a silent lake,BOLETO GENERAL,Wallet,1,0,Enero,Martes,Mañana,Octubre,Viernes,Noche,2,2,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,CORTESÍAS GOLDEN,PayPhone,0,1,Enero,Lunes,Noche,Septiembre,Domingo,Mañana,2,1,Talleres
RALLY PROVINCIA DE LOJA,INSCRIPCIÓN DIGITAL,AppExterna,1,1,Enero,Viernes,Tarde,Octubre,Domingo,Noche,2,2,Concierto
El After de las Artes Vivas,BOLETO PALCO,PayPhone,0,0,Enero,Miércoles,Tarde,Octubre,Miércoles,Tarde,2,1,Concierto
DESAYUNO EMPRESARIAL,BOLETO PALCO,Wallet,1,0,Enero,Viernes,Noche,Noviembre,Viernes,Tarde,0,2,Concierto
DESAYUNO EMPRESARIAL,INSCRIPCIÓN DIGITAL,Wallet,1,1,Enero,Viernes,Noche,Agosto,Viernes,Tarde,2,2,Deporte
El viaje de la Santa,PREVENTA ,AppExterna,1,0,Enero,Viernes,Noche,Mayo,Viernes,Tarde,2,2,Concierto
INAUGURACION FERIA DE LOJA 2024  ALBERTO PLAZA,GOLDEN,Wallet,1,0,Enero,Lunes,Tarde,Septiembre,Martes,Noche,2,2,Concierto
TARDE CLIPP,CORTESÍAS VIP,PayPhone,0,0,Enero,Lunes,Noche,Julio,Miércoles,Mañana,2,2,Talleres
TARDE CLIPP,PREFERENCIA,Wallet,1,1,Enero,Domingo,Mañana,Marzo,Domingo,Noche,2,2,Concierto
LA MOSCA,TRIBUNA SUR,Wallet,0,1,Enero,Sábado,Mañana,Mayo,Lunes,Tarde,2,2,Deporte
San Juanes Santa Rosa del Tejar,SALA 1 2D,Wallet,1,1,Enero,Domingo,Tarde,Julio,Viernes,Noche,2,1,Cine
ALZATE,PLATINUM,Wallet,1,1,Enero,Domingo,Noche,Abril,Lunes,Noche,2,2,Deporte
MOANA 2,Adhesiones,AppExterna,0,0,Enero,Domingo,Tarde,Julio,Lunes,Tarde,2,2,Cine
La Inocente,SALA 1 2D,PayPhone,0,0,Enero,Domingo,Tarde,Junio,Jueves,Tarde,2,2,Cine
DESAYUNO EMPRESARIAL,CORTESÍAS,PayPhone,1,1,Enero,Viernes,Noche,Junio,Miércoles,Tarde,2,2,Teatro
Inscripciones Ibarra Fight League,CORTESÍAS VIP,Wallet,0,0,Enero,Sábado,Tarde,Mayo,Lunes,Tarde,2,2,Deporte
DESAYUNO EMPRESARIAL,GOLDEN,Wallet,1,0,Enero,Sábado,Mañana,Marzo,Jueves,Noche,2,2,Cine
RALLY PROVINCIA DE LOJA,SALA 2,PayPhone,0,0,Enero,Jueves,Mañana,Junio,Miércoles,Mañana,2,2,Talleres
TARDE CLIPP,CORTESÍAS GOLDEN,AppExterna,0,0,Enero,Martes,Noche,Mayo,Viernes,Tarde,2,2,Concierto
28ava Asamblea Nacional,BOLETO PALCO,AppExterna,1,0,Enero,Miércoles,Tarde,Marzo,Sábado,Noche,2,2,Concierto
LA ULTIMA ESPERANZA,SILLAS DIGITAL,PayPhone,1,0,Enero,Martes,Tarde,Agosto,Lunes,Noche,2,3,Deporte
LIBERTAD FC VS Emelec SC,PLATEA ALTA,Wallet,0,0,Enero,Martes,Noche,Diciembre,Martes,Tarde,2,2,Otro
Ibarra Fight League,SALA 1 2D,AppExterna,0,1,Enero,Miércoles,Tarde,Marzo,Viernes,Noche,2,2,Concierto
